model,image,recall,gt_count,pred_count
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00240.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00270.jpg,1.0,4,4
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00280.jpg,1.0,4,4
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00300.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00310.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00370.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00410.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00420.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00430.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00450.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00480.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00490.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00500.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00520.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00560.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00570.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00590.jpg,1.0,11,12
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00600.jpg,1.0,12,12
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00680.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00690.jpg,1.0,10,11
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00740.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00790.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00800.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251122_eTgKPtO6_00010.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251122_eTgKPtO6_00020.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251123_YuV80UEe_00010.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251123_YuV80UEe_00020.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251123_YuV80UEe_00050.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251123_YuV80UEe_00060.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251123_YuV80UEe_00090.jpg,1.0,8,8
